Q1;Q2;Q3;Q4;Q16;Q17;Q14;Q5;Q28;Q6;Q7;Q9;Q15;Q10;Q12;Q18;Q18_4_TEXT;Q24_1;Q24_2;Q24_3;Q24_4;Q26_1;Q26_2;Q26_3;Q26_4;Q21;Q22_1;Q22_2;Q22_3;Q22_4;Q22_5;Q22_6;Q22_7;Q22_8;Q22_9;Q22_10;Q22_11;Q22_12;Q22_13;Q23_1;Q23_2;Q23_3;Q23_4;Q23_5;Q23_6;Q23_7;Q23_8;Q23_9;Q23_10;Q23_11;Q23_12;Q23_13;Q23_14;Q23_15;Q23_16;Q23_17;Q23_18;Q23_19;Q23_20;Q27_1;Q27_2;Q27_3;Q27_4;Q27_5;Q27_6;Q27_7;Q27_8;Q27_9;Q27_10;Q29_1;Q29_2;Q29_3;Q29_4;Q29_5;Q29_6;Q29_7;Q29_8;Q29_9;Q29_10;Q29_11;Q29_12;Q29_13;Q29_14;Q29_15;Q29_16;Q29_17;Q29_18;Q29_19;Q29_20;Q29_21;Q29_22;Q29_23;Q29_24;Q29_25;Q29_26;Q29_27;Q29_28;Q29_29;Q29_30;Q29_31;Q29_32;Q29_33;Q29_34;Q29_35;Q29_36;Q29_37;Q29_38;Q29_39;Q29_40;Q29_41;Q29_42;Q29_43;Q29_44;Q29_45;Q29_46;Q29_47;Q29_48;Q29_49;Q29_50;Q29_51;Q29_52;Q29_53;Q29_54;Q29_55;Q29_56;Q29_57;Q29_58;Q29_59;Q29_60
ES-ES;Female;62;Spain;;;Community of Madrid;Western Europe;Spanish;Pere Garau;University studies or equivalent;Full-time employment;;Between 35,200 and 59,999 EUR;Center-Left;Spanish;;Well;With difficulty;Well;Well;Well;Well;Well;Well;3 or more;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);N/A;Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Both languages;Catalan;Catalan;Catalan;Catalan;Both languages;Both languages;Catalan;Catalan;Both languages;100;100;100;100;5;100;48;48;51;53;0;100;52;53;53;39;100;100;100;3;44;3;3;30;30;83;9;100;100;3;3;5;7;7;6;58;100;100;100;4;100;10;10;100;50;50;21;23;3;55;31;3;5;4;100;42;24;3;100;100
CA;Male;55;Spain;;;Balearic islands;Western Europe;Mallorcan,Catalan countries;Bons Aires;Secondary studies or equivalent;Full-time employment;;Between 20,200 and 35,199 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;1;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);N/A;N/A;More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan only (100%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan;Catalan;Both languages;Catalan;Catalan;Catalan;Both languages;Catalan;Catalan;Catalan;100;54;100;74;100;27;0;0;100;100;100;0;100;100;100;0;100;100;23;0;100;0;0;0;0;100;0;100;0;0;0;0;54;0;0;99;100;100;0;0;100;0;0;0;0;0;100;100;100;100;0;0;0;0;100;100;0;0;100;100
CA;Male;20;Spain;;;Balearic islands;Western Europe,Central America;Mallorcan,European;Camp Redó;University studies or equivalent;Student;Public;Between 60,000 and 299,999 EUR;Far left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan only (100%);More Spanish than Catalan (75%);N/A;More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);N/A;Spanish only (100%);Catalan only (100%);More Spanish than Catalan (75%);Spanish only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Spanish than Catalan (75%);Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Both languages;100;61;100;60;100;60;52;26;100;57;100;17;100;100;100;0;100;8;100;0;100;3;0;2;5;100;0;100;58;0;0;0;0;100;100;100;100;100;100;0;1;0;0;100;0;0;0;100;100;100;0;0;0;0;100;100;0;0;100;100
CA;Female;26;Spain;;;Balearic islands;Western Europe;Catalan countries;Bons Aires;University studies or equivalent;Full-time employment;;Between 12,450 and 20,199 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;1;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan only (100%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan and Spanish (50%);N/A;More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan only (100%);Catalan and Spanish (50%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan and Spanish (50%);Catalan;Both languages;Both languages;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Both languages;100;30;100;100;100;100;10;10;100;100;0;10;100;100;100;2;100;80;80;3;70;0;3;0;5;100;1;100;80;0;5;3;74;48;70;100;100;100;100;3;100;20;3;3;20;70;90;50;100;100;0;0;0;0;100;100;0;0;100;100
ES-ES;Female;24;Spain;;;Balearic islands;Western Europe;Spanish;Verge de Lluc;Professional Training;Unemployed;;I prefer not to say;Right;Spanish;;Well;With difficulty;Well;With difficulty;Well;Well;Well;Well;3 or more;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);N/A;N/A;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;50;50;50;50;23;100;63;22;50;50;16;100;50;52;52;50;100;53;53;37;8;7;6;5;5;6;7;8;11;7;7;7;6;9;7;100;100;50;51;19;31;32;2;12;17;19;100;100;20;19;23;34;34;32;21;60;26;3;2;31
CA;Male;36;Spain;;;Balearic islands;Western Europe;Mallorcan,Balearic,Catalan countries;Marquès de la Fontsanta;University studies or equivalent;Full-time employment;;Between 20,200 and 35,199 EUR;Center-Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;3 or more;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);N/A;More Spanish than Catalan (75%);More Catalan than Spanish (75%);Others;N/A;More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Spanish only (100%);Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Both languages;100;85;100;100;100;90;80;51;85;85;100;5;100;100;100;0;100;100;100;0;100;0;0;0;0;100;0;100;80;0;0;0;5;0;0;0;0;100;100;0;100;10;0;100;0;0;100;100;100;100;0;0;0;100;100;100;0;20;100;100
ES-ES;Female;44;Spain;;;La Rioja;Western Europe;Spanish;L'Arenal;University studies or equivalent;Full-time employment;;Between 60,000 and 299,999 EUR;Center-Right;Spanish;;Well;With difficulty;Well;Not at all;Well;Well;Well;Well;3 or more;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Others;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Spanish;Both languages;50;95;50;96;18;100;52;13;55;93;9;95;27;100;13;15;99;10;100;52;1;53;17;87;16;18;20;46;86;17;21;22;25;93;51;8;52;95;100;51;8;91;12;96;10;100;51;98;47;9;95;54;9;88;16;81;13;12;13;27
ES-ES;Male;25;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan;Camp Redó;University studies or equivalent;Full-time employment;;Between 12,450 and 20,199 EUR;Far left;Spanish;;Well;Well;Well;Well;Well;Well;Well;Well;1;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan only (100%);Spanish only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);N/A;Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Spanish only (100%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);Catalan;Both languages;Both languages;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;100;100;100;100;100;100;51;37;100;100;100;67;100;100;100;10;100;100;100;1;68;2;3;3;4;100;51;100;100;2;2;5;2;4;0;100;100;100;100;2;100;4;2;2;100;48;100;100;100;100;54;2;3;54;100;99;5;2;100;100
ES-ES;Male;25;Spain;;;Balearic islands;Western Europe;Balearic;El Rafal Nou;Professional Training;Full-time employment;;I prefer not to say;Centre;Spanish;;Well;Well;Well;Well;Well;Well;Well;Well;3 or more;Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);N/A;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Others;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);N/A;Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Both languages;Catalan;Catalan;Catalan;Both languages;Both languages;Both languages;Both languages;Both languages;Catalan;1;40;2;40;2;40;3;3;2;60;2;2;1;1;1;50;60;1;100;1;55;1;1;100;30;1;1;1;60;1;1;1;1;1;1;1;1;70;70;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ES-ES;Female;24;Spain;;;Balearic islands;Western Europe;Mallorcan,Balearic,Catalan countries,European;Santa Catalina;University studies or equivalent;Part-time employment;;Less than 12,450 EUR;Far left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;3 or more;Catalan only (100%);Catalan only (100%);N/A;Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Catalan and Spanish (50%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Others;Catalan and Spanish (50%);N/A;More Spanish than Catalan (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);N/A;Others;More Catalan than Spanish (75%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Others;More Catalan than Spanish (75%);Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);Spanish only (100%);Catalan;Both languages;Both languages;Both languages;Both languages;Catalan;Catalan;Catalan;Both languages;Both languages;100;100;100;70;100;70;0;0;100;80;80;50;100;100;100;0;69;90;100;0;80;0;0;0;0;100;0;100;50;0;0;0;0;0;0;100;100;100;50;0;100;0;0;0;50;0;51;51;100;60;0;0;0;0;100;100;0;0;100;100
ES-ES;Female;55;Spain;;;Castile - La Mancha;Western Europe;Spanish;La indioteria (Rural);Professional Training;Part-time employment;;Between 12,450 and 20,199 EUR;Center-Left;Spanish;;Well;Well;Well;Well;Well;Well;Well;Well;1;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;100;100;100;100;50;100;0;0;100;100;100;100;100;100;0;0;0;75;50;0;0;0;0;0;0;100;100;100;100;100;100;100;100;100;100;50;50;100;100;0;0;100;0;0;0;0;100;100;100;0;0;0;100;75;100;100;100;0;100;100
CA;Male;24;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan;Son Cladera;University studies or equivalent;Full-time employment;;Between 20,200 and 35,199 EUR;Far left;Both;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);N/A;Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);N/A;Spanish only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);N/A;More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);N/A;Catalan;Both languages;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Both languages;Both languages;100;50;100;50;100;50;25;25;100;68;80;100;100;100;100;0;85;85;100;0;100;0;0;0;0;100;12;100;65;0;0;0;100;0;0;100;100;100;100;0;84;0;0;100;50;50;25;75;100;100;0;0;0;0;100;100;0;0;100;100
ES-ES;Female;33;Spain;;;Balearic islands;Western Europe;Spanish;La indioteria (Rural);University studies or equivalent;Full-time employment;;Between 20,200 and 35,199 EUR;Left;Spanish;;Well;Well;Well;Well;Well;Well;Well;Well;1;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);N/A;More Spanish than Catalan (75%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;100;100;100;100;73;100;52;76;100;100;77;100;100;100;58;60;100;76;100;36;20;0;0;0;0;90;68;100;100;0;0;0;0;0;0;31;54;100;100;0;100;100;0;12;0;40;87;100;100;70;75;100;100;25;100;85;33;0;100;100
ES-ES;Female;19;Spain;;;Balearic islands;Eastern Europe;Mallorcan;Camp Redó;Secondary studies or equivalent;Student;Public;Between 20,200 and 35,199 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Spanish only (100%);Catalan only (100%);Catalan and Spanish (50%);More Spanish than Catalan (75%);N/A;Spanish only (100%);N/A;Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Spanish only (100%);N/A;Catalan only (100%);More Spanish than Catalan (75%);Catalan only (100%);N/A;More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Spanish only (100%);Catalan;Both languages;Both languages;Catalan;Catalan;Catalan;Catalan;Catalan;Both languages;Both languages;100;100;100;100;100;100;44;22;100;68;100;37;100;100;100;0;100;100;100;5;72;0;0;17;35;100;0;100;100;0;0;0;0;13;5;100;100;100;100;0;12;64;0;0;0;100;19;100;41;30;0;0;0;100;100;100;0;0;50;100
CA;Female;55;Spain;;;Balearic islands;Western Europe;Mallorcan,Balearic;Bons Aires;Secondary studies or equivalent;Full-time employment;;Between 35,200 and 59,999 EUR;Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan only (100%);Catalan only (100%);Catalan only (100%);N/A;More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);N/A;N/A;Catalan only (100%);Catalan and Spanish (50%);Catalan only (100%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);N/A;Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan;Both languages;Both languages;Catalan;Catalan;Catalan;Catalan;Catalan;Both languages;Catalan;100;100;100;100;100;100;10;3;100;100;100;1;100;100;6;3;100;70;87;0;79;0;0;0;0;100;0;58;0;0;0;0;0;9;0;57;68;100;100;0;100;0;0;0;100;0;100;0;0;90;0;0;0;85;100;26;1;0;100;100
ES-ES;Female;42;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan,Balearic,Spanish;Camp Redó;Secondary studies or equivalent;Full-time employment;;Between 35,200 and 59,999 EUR;Center-Left;Spanish;;Well;Well;Well;Well;Well;Well;Well;Well;3 or more;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Catalan;Both languages;Both languages;Both languages;59;100;80;100;50;100;86;86;70;100;90;100;60;100;20;4;100;1;39;70;0;5;2;52;2;70;70;50;50;9;6;6;4;100;100;5;39;100;100;5;60;60;14;6;3;49;49;80;49;38;51;11;6;7;100;22;22;3;27;69
ES-ES;Female;39;Spain;;;Balearic islands;Western Europe;Palmesan,Mallorcan,Balearic,Spanish,European;Les Maravelles;University studies or equivalent;Part-time employment;;Between 20,200 and 35,199 EUR;Left;Spanish;;Well;Well;Well;Well;Well;Well;Well;Well;3 or more;Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Spanish only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Spanish only (100%);Spanish only (100%);More Catalan than Spanish (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Catalan than Spanish (75%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;100;100;100;100;51;100;6;9;100;100;100;7;100;100;45;9;33;24;95;100;100;10;13;14;15;73;15;100;100;7;7;9;11;14;6;11;9;100;100;9;36;100;4;6;6;5;7;100;100;12;9;10;13;9;100;100;5;8;100;100
ES-ES;Female;19;Spain;;;Balearic islands;Western Europe;Mallorcan;El Secar de la Real;Professional Training;Student;Semi-Private;Between 35,200 and 59,999 EUR;Center-Right;Spanish;;Well;Well;Well;Well;Well;Well;Well;Well;2;More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Spanish only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);More Spanish than Catalan (75%);More Catalan than Spanish (75%);Spanish only (100%);Spanish only (100%);Spanish only (100%);More Spanish than Catalan (75%);Spanish only (100%);Spanish only (100%);Catalan and Spanish (50%);Both languages;Spanish;Spanish;Spanish;Spanish;Spanish;Spanish;Spanish;Spanish;Spanish;0;100;0;100;0;100;0;0;0;100;0;100;0;100;100;0;0;100;100;100;0;100;0;100;0;0;100;0;100;100;0;100;0;100;100;0;100;0;100;100;0;100;100;100;0;100;0;100;0;100;100;0;0;100;0;100;0;0;0;0
ES-ES;Male;48;Spain;;;Balearic islands;South America;Palmesan,Mallorcan,Balearic,Spanish;Nou Llevant;Professional Training;Full-time employment;;Between 12,450 and 20,199 EUR;Center-Right;Both;;Well;Well;Well;Well;Well;Well;Well;Well;2;Catalan and Spanish (50%);Spanish only (100%);Spanish only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Others;More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Spanish than Catalan (75%);More Spanish than Catalan (75%);Catalan;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;Both languages;100;100;100;100;100;100;8;4;100;100;70;100;100;100;0;4;100;5;100;3;7;4;5;6;5;55;55;40;100;4;5;0;3;7;6;4;100;100;100;50;29;78;1;2;5;4;18;16;8;6;6;6;4;8;100;50;6;5;4;100
CA;Female;55;Spain;;;Balearic islands;Western Europe;Mallorcan;Arxiduc;University studies or equivalent;Full-time employment;;Between 20,200 and 35,199 EUR;Center-Left;Catalan;;Well;Well;Well;Well;Well;Well;Well;Well;2;More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);Catalan and Spanish (50%);N/A;Catalan only (100%);Catalan only (100%);N/A;Catalan only (100%);N/A;Catalan only (100%);Catalan and Spanish (50%);Catalan and Spanish (50%);Others;More Catalan than Spanish (75%);Catalan and Spanish (50%);Catalan and Spanish (50%);Catalan and Spanish (50%);More Catalan than Spanish (75%);Catalan only (100%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);Catalan only (100%);More Catalan than Spanish (75%);More Catalan than Spanish (75%);Catalan only (100%);Catalan only (100%);Catalan and Spanish (50%);Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;Catalan;100;0;100;0;99;0;0;0;100;49;100;0;100;52;78;0;100;100;100;2;43;0;46;0;0;100;0;100;0;0;0;0;78;0;44;0;0;100;62;0;2;0;0;0;100;0;100;53;100;100;0;3;79;0;28;72;31;0;100;100
